VTX, IDX, POSITION0.x, POSITION0.y, POSITION0.z, POSITION0.w, NORMAL0.x, NORMAL0.y, NORMAL0.z, NORMAL0.w, TANGENT0.x, TANGENT0.y, TANGENT0.z, TANGENT0.w, POSITION6.x, POSITION6.y, POSITION6.z, POSITION6.w, POSITION7.x, POSITION7.y, POSITION7.z, POSITION7.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD0.w
0, 0, -3.89063,  7.39844,  5.07422,  1.00,  0.99608,  0.49804,  0.49804,  0.00,  0.49804,  0.16078,  0.86275,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
1, 1, -3.76953,  7.08594,  14.125,  1.00,  0.8549,  0.84706,  0.52549,  0.00,  0.55294,  0.40784,  0.98431,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
2, 2, -3.88672,  6.62891,  14.11719,  1.00,  0.99608,  0.49804,  0.49804,  0.00,  0.49804,  0.37647,  0.98039,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
3, 3, -4.25781,  7.87109,  5.05859,  1.00,  0.40392,  0.98431,  0.5451,  0.00,  0.00784,  0.40784,  0.45882,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
4, 4, -4.53125,  7.75,  5.02734,  1.00,  0.94118,  0.72549,  0.51765,  0.00,  0.35686,  0.80392,  0.13333,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
5, 5, -4.59766,  7.87891,  5.03906,  1.00,  0.66667,  0.96471,  0.54118,  0.00,  0.03137,  0.67059,  0.47059,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
6, 6, -4.59766,  7.87891,  5.03906,  1.00,  0.66667,  0.96471,  0.54118,  0.00,  0.17647,  0.58039,  0.87059,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
7, 7, -4.85547,  7.97266,  5.03516,  1.00,  0.31765,  0.96078,  0.53725,  0.00,  0.03529,  0.31765,  0.48235,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
8, 8, -7.42188,  6.96875,  5.08594,  1.00,  0.33333,  0.96471,  0.53725,  0.00,  0.02745,  0.33333,  0.48627,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
9, 9, -4.86719,  7.17578,  14.21875,  1.00,  0.31765,  0.96078,  0.52157,  0.00,  0.96078,  0.67843,  0.47059,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
10, 10, -4.53906,  6.96094,  14.19531,  1.00,  0.96471,  0.66667,  0.51373,  0.00,  0.67059,  0.03137,  0.44314,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
11, 11, -4.24609,  7.09375,  14.16406,  1.00,  0.40784,  0.98431,  0.53333,  0.00,  0.98824,  0.59216,  0.48627,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
